"", "V1"
100.08333587646484,0.0
100.16666412353516,0.0
100.25,0.0
100.33333587646484,0.0
100.41666412353516,0.0
100.5,0.0
100.58333587646484,0.0
100.66666412353516,0.0
100.75,0.0
100.83333587646484,0.0
100.91666412353516,0.0
101.0,0.0
101.08333587646484,0.0
101.16666412353516,0.0
101.25,0.0
101.33333587646484,0.0
101.41666412353516,0.0
101.5,0.0
101.58333587646484,0.0
101.66666412353516,0.0
101.75,0.0
101.83333587646484,0.0
101.91666412353516,0.0
102.0,0.0
102.08333587646484,0.0
102.16666412353516,0.0
102.25,0.0
102.33333587646484,0.0
102.41666412353516,0.0
102.5,0.0
102.58333587646484,0.0
102.66666412353516,0.0
102.75,0.0
102.83333587646484,0.0
102.91666412353516,0.0
103.0,0.0
103.08333587646484,0.0
103.16666412353516,0.0
103.25,0.0
103.33333587646484,0.0
103.41666412353516,0.0
103.5,0.0
103.58333587646484,0.0
103.66666412353516,0.0
103.75,0.0
103.83333587646484,0.0
103.91666412353516,0.0
104.0,0.0
104.08333587646484,0.0
104.16666412353516,0.0
104.25,0.0
104.33333587646484,0.0
104.41666412353516,0.0
104.5,0.0
104.58333587646484,0.0
104.66666412353516,0.0
104.75,0.0
104.83333587646484,0.0
104.91666412353516,0.0
105.0,0.0
105.08333587646484,0.0
105.16666412353516,0.0
105.25,0.0
105.33333587646484,0.0
105.41666412353516,0.0
105.5,0.0
105.58333587646484,0.0
105.66666412353516,0.0
105.75,0.0
105.83333587646484,0.0
105.91666412353516,0.0
106.0,0.0
106.08333587646484,0.0
106.16666412353516,0.0
106.25,0.0
106.33333587646484,0.0
106.41666412353516,0.0
106.5,0.0
106.58333587646484,0.0
106.66666412353516,0.0
106.75,0.0
106.83333587646484,0.0
106.91666412353516,0.0
107.0,0.0
107.08333587646484,0.0
107.16666412353516,0.0
107.25,0.0
107.33333587646484,0.0
107.41666412353516,0.0
107.5,0.0
107.58333587646484,0.0
107.66666412353516,0.0
107.75,0.0
107.83333587646484,0.0
107.91666412353516,0.0
108.0,0.0
108.08333587646484,0.03130663186311722
108.16666412353516,0.35532981157302856
108.25,0.600653886795044
108.33333587646484,0.2782943546772003
108.41666412353516,0.03537023812532425
108.5,0.15283699333667755
108.58333587646484,0.3487919270992279
108.66666412353516,0.4298742413520813
108.75,0.2595595419406891
108.83333587646484,0.04989209771156311
108.91666412353516,0.0
109.0,0.0
109.08333587646484,0.0
109.16666412353516,0.0
109.25,2.7211719498154707e-05
109.33333587646484,8.502966011292301e-06
109.41666412353516,7.698232025177276e-07
109.5,0.0
109.58333587646484,0.0
109.66666412353516,0.0
109.75,1.8077960239892832e-09
109.83333587646484,1.1675439504088558e-09
109.91666412353516,2.0559889901683448e-10
110.0,0.0
110.08333587646484,0.0
110.16666412353516,0.0
110.25,0.0
110.33333587646484,1.284145858225505e-13
110.41666412353516,3.6659491089476026e-14
110.5,2.7443530795442797e-15
110.58333587646484,0.0
110.66666412353516,0.0
110.75,0.0
110.83333587646484,9.638266311256638e-18
110.91666412353516,5.217233677754165e-18
111.0,8.379281185531409e-19
111.08333587646484,0.0
111.16666412353516,0.0
111.25,0.0
111.33333587646484,0.0
111.41666412353516,5.996314756314922e-22
111.5,1.5699720409091324e-22
111.58333587646484,9.179442661806795e-24
111.66666412353516,0.0
111.75,0.0
111.83333587646484,0.0
111.91666412353516,4.9535543711685643e-26
112.0,2.3165053015466607e-26
112.08333587646484,3.3713553899034226e-27
112.16666412353516,0.0
112.25,0.0
112.33333587646484,0.0
112.41666412353516,8.360597305534206e-31
112.5,2.7739505650591433e-30
112.58333587646484,6.676410125382275e-31
112.66666412353516,2.743525056697714e-32
112.75,0.0
112.83333587646484,0.0
112.91666412353516,0.0
113.0,2.478834273378557e-34
113.08333587646484,1.0221565080929194e-34
113.16666412353516,1.3358071281834476e-35
113.25,0.0
113.33333587646484,0.0
113.41666412353516,0.0
113.5,0.0
113.58333587646484,1.2724679880594185e-38
113.66666412353516,0.0
113.75,0.0
113.83333587646484,0.0
113.91666412353516,0.0
114.0,0.0
114.08333587646484,0.0
114.16666412353516,0.0
114.25,0.0
114.33333587646484,0.0
114.41666412353516,0.0
114.5,0.0
114.58333587646484,0.0
114.66666412353516,0.0
114.75,0.0
114.83333587646484,0.0
114.91666412353516,0.0
115.0,0.0
115.08333587646484,0.0
115.16666412353516,0.0
115.25,0.0
115.33333587646484,0.0
115.41666412353516,0.0
115.5,0.0
115.58333587646484,0.0
115.66666412353516,0.0
115.75,0.0
115.83333587646484,0.0
115.91666412353516,0.0
116.0,0.0
116.08333587646484,0.0
116.16666412353516,0.0
116.25,0.0
116.33333587646484,0.0
116.41666412353516,0.0
116.5,0.0
116.58333587646484,0.0
116.66666412353516,0.0
116.75,0.0
116.83333587646484,0.0
116.91666412353516,0.0
117.0,0.0
117.08333587646484,0.0
117.16666412353516,0.0
117.25,0.0
117.33333587646484,0.0
117.41666412353516,0.0
117.5,0.0
117.58333587646484,0.0
117.66666412353516,0.0
117.75,0.0
117.83333587646484,0.0
117.91666412353516,0.0
118.0,0.0
118.08333587646484,0.0
118.16666412353516,0.0
118.25,0.0
118.33333587646484,0.0
118.41666412353516,0.0
118.5,0.0
118.58333587646484,0.0
118.66666412353516,0.0
118.75,0.0
118.83333587646484,0.0
118.91666412353516,0.0
119.0,0.0
119.08333587646484,0.0
119.16666412353516,0.0
119.25,0.0
119.33333587646484,0.0
119.41666412353516,0.0
119.5,0.0
119.58333587646484,0.0
119.66666412353516,0.0
119.75,0.0
119.83333587646484,0.0
119.91666412353516,0.0
120.0,0.0
120.08333587646484,0.0
120.16666412353516,0.0
120.25,0.0
120.33333587646484,0.0
120.41666412353516,0.0
120.5,0.0
120.58333587646484,0.0
120.66666412353516,0.0
120.75,0.0
120.83333587646484,0.0
120.91666412353516,0.0
121.0,0.0
121.08333587646484,0.0
121.16666412353516,0.0
121.25,0.0
121.33333587646484,0.0
121.41666412353516,0.0
121.5,0.0
121.58333587646484,0.0
121.66666412353516,0.0
121.75,0.0
121.83333587646484,0.0
121.91666412353516,0.0
122.0,0.0
122.08333587646484,0.0
122.16666412353516,0.0
122.25,0.0
122.33333587646484,0.0
122.41666412353516,0.0
122.5,0.0
122.58333587646484,0.0
122.66666412353516,0.0
122.75,0.0
122.83333587646484,0.0
122.91666412353516,0.10306084156036377
123.0,0.2433626353740692
123.08333587646484,0.08373726159334183
123.16666412353516,0.008856333792209625
123.25,0.0
123.33333587646484,0.0
123.41666412353516,0.0
123.5,1.3711060091736726e-05
123.58333587646484,1.1090767657151446e-05
123.66666412353516,2.132323970727157e-06
123.75,0.0
123.83333587646484,0.0
123.91666412353516,0.0
124.0,0.0
124.08333587646484,1.1625826967787134e-09
124.16666412353516,3.6336450515150887e-10
124.25,3.2911937064561414e-11
124.33333587646484,0.0
124.41666412353516,0.0
124.5,0.0
124.58333587646484,7.720785951759526e-14
124.66666412353516,4.988900731330709e-14
124.75,8.787232450198097e-15
124.83333587646484,0.0
124.91666412353516,0.011910955421626568
125.0,0.2599602937698364
125.08333587646484,0.2591251730918884
125.16666412353516,0.06046877056360245
125.25,0.0020763599313795567
125.33333587646484,0.0
125.41666412353516,0.0
125.5,0.0
125.58333587646484,2.3761884222039953e-05
125.66666412353516,9.388188118464313e-06
125.75,1.1753828630389762e-06
125.83333587646484,0.0
125.91666412353516,0.0
126.0,0.0
126.08333587646484,9.516661902964074e-10
126.16666412353516,1.1851724046607615e-09
126.25,2.5446003637519254e-10
126.33333587646484,3.83043770313396e-12
126.41666412353516,0.0
126.5,0.0
126.58333587646484,0.0
126.66666412353516,1.157411433404601e-13
126.75,4.107373214332424e-14
126.83333587646484,4.532110770656336e-15
126.91666412353516,0.0
127.0,0.0
127.08333587646484,0.0
127.16666412353516,6.121991837645785e-18
127.25,5.3800596318418594e-18
127.33333587646484,1.0617840269216688e-18
127.41666412353516,0.0
127.5,0.0
127.58333587646484,0.0
127.66666412353516,0.0
127.75,5.552088879011969e-22
127.83333587646484,1.7857829275609792e-22
127.91666412353516,1.7011379946585836e-23
128.0,0.0
128.0833282470703,0.0
128.1666717529297,0.0
128.25,3.525970047322401e-26
128.3333282470703,2.4251185059463678e-26
128.4166717529297,4.389137335732157e-27
128.5,0.0
128.5833282470703,0.0
128.6666717529297,0.0
128.75,0.0
128.8333282470703,0.0
128.9166717529297,0.6146087646484375
129.0,1.131767988204956
129.0833282470703,0.8806196451187134
129.1666717529297,0.28760936856269836
129.25,0.03088986501097679
129.3333282470703,0.0
129.4166717529297,0.0
129.5,0.0
129.5833282470703,4.558028740575537e-05
129.6666717529297,3.794254007516429e-05
129.75,7.3635833359730896e-06
129.8333282470703,0.0
129.9166717529297,0.0
130.0,0.0
130.0833282470703,0.0
130.1666717529297,3.955362259944195e-09
130.25,1.2489004275195725e-09
130.3333282470703,1.1521687076632148e-10
130.4166717529297,0.0
130.5,0.0
130.5833282470703,0.0
130.6666717529297,2.586371329778292e-13
130.75,1.7080110383763808e-13
130.8333282470703,3.037905010557819e-14
130.9166717529297,0.0
131.0,0.0
131.0833282470703,0.0
131.1666717529297,0.0
131.25,1.8689512320286445e-17
131.3333282470703,5.388407952174051e-18
131.4166717529297,4.129898248505886e-19
131.5,0.0
131.5833282470703,0.0
131.6666717529297,0.0
131.75,1.385843676233585e-21
131.8333282470703,7.63787144364292e-22
131.9166717529297,1.2397369430638502e-22
132.0,0.0
132.0833282470703,0.0
132.1666717529297,0.0
132.25,0.0
132.3333282470703,8.73679229750375e-26
132.4166717529297,2.3093867563234144e-26
132.5,1.393584129941646e-27
132.5833282470703,0.0
132.6666717529297,0.0
132.75,0.0
132.8333282470703,7.147548073112751e-30
132.9166717529297,3.393681907321133e-30
133.0,4.99570475949748e-31
133.0833282470703,0.0
133.1666717529297,0.0
133.25,0.0
133.3333282470703,1.0432044002517396e-34
133.4166717529297,4.045696611337663e-34
133.5,9.8285137491478e-35
133.5833282470703,4.2351452904014627e-36
133.6666717529297,0.0
133.75,0.0
133.8333282470703,0.0
133.9166717529297,3.5693742761226094e-38
134.0,1.4984712260737286e-38
134.0833282470703,0.0
134.1666717529297,0.0
134.25,0.0
134.3333282470703,0.0
134.4166717529297,0.0
134.5,0.0
134.5833282470703,0.0
134.6666717529297,0.0
134.75,0.0
134.8333282470703,0.0
134.9166717529297,0.0
135.0,0.0
135.0833282470703,0.0
135.1666717529297,0.0
135.25,0.0
135.3333282470703,0.0
135.4166717529297,0.0
135.5,0.0
135.5833282470703,0.0
135.6666717529297,0.0
135.75,0.0
135.8333282470703,0.0
135.9166717529297,0.0
136.0,0.0
136.0833282470703,0.0
136.1666717529297,0.0
136.25,0.0
136.3333282470703,0.0
136.4166717529297,0.0
136.5,0.0
136.5833282470703,0.0
136.6666717529297,0.0
136.75,0.0
136.8333282470703,0.0
136.9166717529297,0.0
137.0,0.0
137.0833282470703,0.0
137.1666717529297,0.0
137.25,0.0
137.3333282470703,0.0
137.4166717529297,0.0
137.5,0.0
137.5833282470703,0.0
137.6666717529297,0.0
137.75,0.0
137.8333282470703,0.0
137.9166717529297,0.0
138.0,0.0
138.0833282470703,0.0
138.1666717529297,0.0
138.25,0.0
138.3333282470703,0.0
138.4166717529297,0.0
138.5,0.0
138.5833282470703,0.0
138.6666717529297,0.0
138.75,0.0
138.8333282470703,0.0
138.9166717529297,0.0
139.0,0.0
139.0833282470703,0.0
139.1666717529297,0.0
139.25,0.0
139.3333282470703,0.0
139.4166717529297,0.0
139.5,0.0
139.5833282470703,0.0
139.6666717529297,0.0
139.75,0.0
139.8333282470703,0.0
139.9166717529297,0.0
140.0,0.0
140.0833282470703,0.0
140.1666717529297,0.0
140.25,0.0
140.3333282470703,0.0
140.4166717529297,0.0
140.5,0.0
140.5833282470703,0.0
140.6666717529297,0.0
140.75,0.0
140.8333282470703,0.0
140.9166717529297,0.0
141.0,0.0
141.0833282470703,0.0
141.1666717529297,0.0
141.25,0.0
141.3333282470703,0.0
141.4166717529297,0.0
141.5,0.0
141.5833282470703,0.0
141.6666717529297,0.0
141.75,0.0
141.8333282470703,0.0
141.9166717529297,0.0
142.0,0.0
142.0833282470703,0.0
142.1666717529297,0.0
142.25,0.0
142.3333282470703,0.0
142.4166717529297,0.0
142.5,0.0
142.5833282470703,0.0
142.6666717529297,0.0
142.75,0.12050969153642654
142.8333282470703,0.4641779363155365
142.9166717529297,0.17237460613250732
143.0,0.1913357526063919
143.0833282470703,0.5625919699668884
143.1666717529297,1.3286718130111694
143.25,1.62301504611969
143.3333282470703,0.4464380443096161
143.4166717529297,0.027213549241423607
143.5,0.0
143.5833282470703,0.0
143.6666717529297,0.0
143.75,0.0001372946862829849
143.8333282470703,6.551743717864156e-05
143.9166717529297,9.680495168140624e-06
144.0,0.0
144.0833282470703,0.0
144.1666717529297,0.0
144.25,1.8986743288706975e-09
144.3333282470703,7.799029866362162e-09
144.4166717529297,1.9004953166756877e-09
144.5,8.313360416734028e-11
144.5833282470703,0.0
144.6666717529297,0.0
144.75,0.0
144.8333282470703,6.894564129680814e-13
144.9166717529297,2.8935637523194724e-13
145.0,3.844968844723441e-14
145.0833282470703,0.0
145.1666717529297,0.0
145.25,0.2525416910648346
145.3333282470703,0.19252870976924896
145.4166717529297,0.0400870181620121
145.5,0.0003020149888470769
145.5833282470703,0.0
145.6666717529297,0.0
145.75,0.0
145.8333282470703,1.920092290674802e-05
145.9166717529297,6.566911451955093e-06
146.0,6.88543309479428e-07
146.0833282470703,0.0
146.1666717529297,0.0
146.25,0.0
